t,Ca
0,0.263592759
0.001,0.264337879
0.002,0.265082999
0.003,0.265948194
0.004,0.266933463
0.005,0.267918732
0.006,0.269168975
0.007,0.270419218
0.008,0.271846191
0.009,0.273449894
0.01,0.275053597
0.011,0.277151326
0.012,0.279249055
0.013,0.281544504
0.014,0.284037672
0.015,0.28653084
0.016,0.289432118
0.017,0.292333395
0.018,0.295517164
0.019,0.298983425
0.02,0.302449686
0.021,0.306415129
0.022,0.310380571
0.023,0.314534274
0.024,0.318876236
0.025,0.323218198
0.026,0.327916888
0.027,0.332615577
0.028,0.337528945
0.029,0.34265699
0.03,0.347785035
0.031,0.35310087
0.032,0.358416705
0.033,0.363795761
0.034,0.369238037
0.035,0.374680314
0.036,0.38019989
0.037,0.385719466
0.038,0.391200759
0.039,0.396643768
0.04,0.402086777
0.041,0.40738653
0.042,0.412686284
0.043,0.417894986
0.044,0.423012636
0.045,0.428130287
0.046,0.432929383
0.047,0.43772848
0.048,0.44232679
0.049,0.446724313
0.05,0.451121836
0.051,0.455186158
0.052,0.45925048
0.053,0.463142647
0.054,0.466862658
0.055,0.47058267
0.056,0.473779034
0.057,0.476975398
0.058,0.479982289
0.059,0.482799707
0.06,0.485617125
0.061,0.488106537
0.062,0.490595949
0.063,0.492916912
0.064,0.495069425
0.065,0.497221938
0.066,0.498941522
0.067,0.500661105
0.068,0.502257227
0.069,0.503729888
0.07,0.505202549
0.071,0.506443558
0.072,0.507684568
0.073,0.508797233
0.074,0.509781554
0.075,0.510765876
0.076,0.511521068
0.077,0.51227626
0.078,0.512957812
0.079,0.513565723
0.08,0.514173633
0.081,0.514645477
0.082,0.51511732
0.083,0.515507682
0.084,0.515816562
0.085,0.516125442
0.086,0.516323719
0.087,0.516521995
0.088,0.51667827
0.089,0.516792542
0.09,0.516906814
0.091,0.516944088
0.092,0.516981363
0.093,0.51695432
0.094,0.516862959
0.095,0.516771599
0.096,0.516597641
0.097,0.516423682
0.098,0.516216491
0.099,0.515976065
0.1,0.51573564
0.101,0.515431454
0.102,0.515127268
0.103,0.514794984
0.104,0.514434602
0.105,0.51407422
0.106,0.513661508
0.107,0.513248796
0.108,0.512810178
0.109,0.512345653
0.11,0.511881129
0.111,0.511372248
0.112,0.510863367
0.113,0.510330201
0.114,0.50977275
0.115,0.509215298
0.116,0.508607188
0.117,0.507999077
0.118,0.507367934
0.119,0.506713759
0.12,0.506059583
0.121,0.505360553
0.122,0.504661524
0.123,0.503943053
0.124,0.503205141
0.125,0.502467229
0.126,0.50170292
0.127,0.50093861
0.128,0.500165989
0.129,0.499385057
0.13,0.498604124
0.131,0.49781703
0.132,0.497029936
0.133,0.496245723
0.134,0.495464391
0.135,0.494683059
0.136,0.49391444
0.137,0.493145822
0.138,0.492386521
0.139,0.491636538
0.14,0.490886555
0.141,0.490157609
0.142,0.489428663
0.143,0.488710315
0.144,0.488002566
0.145,0.487294816
0.146,0.486618529
0.147,0.485942243
0.148,0.485279577
0.149,0.484630532
0.15,0.483981487
0.151,0.483354889
0.152,0.482728291
0.153,0.482112234
0.154,0.481506717
0.155,0.4809012
0.156,0.480317326
0.157,0.479733451
0.158,0.479160761
0.159,0.478599254
0.16,0.478037748
0.161,0.477498445
0.162,0.476959142
0.163,0.47643243
0.164,0.47591831
0.165,0.47540419
0.166,0.474916698
0.167,0.474429206
0.168,0.473951705
0.169,0.473484196
0.17,0.473016688
0.171,0.472568679
0.172,0.472120671
0.173,0.471681388
