t,Ca
0,0.233836357
0.001,0.235013615
0.002,0.236190872
0.003,0.237669437
0.004,0.23944931
0.005,0.241229182
0.006,0.243762963
0.007,0.246296743
0.008,0.249269578
0.009,0.252681465
0.01,0.256093353
0.011,0.260522002
0.012,0.264950651
0.013,0.269903246
0.014,0.275379787
0.015,0.280856328
0.016,0.287346893
0.017,0.293837458
0.018,0.300781557
0.019,0.308179191
0.02,0.315576825
0.021,0.323678913
0.022,0.331781001
0.023,0.340105614
0.024,0.34865275
0.025,0.357199887
0.026,0.365920577
0.027,0.374641267
0.028,0.383296631
0.029,0.391886671
0.03,0.40047671
0.031,0.408676762
0.032,0.416876813
0.033,0.424768021
0.034,0.432350384
0.035,0.439932748
0.036,0.446736445
0.037,0.453540143
0.038,0.459913814
0.039,0.465857457
0.04,0.4718011
0.041,0.476851217
0.042,0.481901333
0.043,0.486526044
0.044,0.490725349
0.045,0.494924654
0.046,0.498325532
0.047,0.501726409
0.048,0.504772127
0.049,0.507462686
0.05,0.510153244
0.051,0.512229858
0.052,0.514306472
0.053,0.516122372
0.054,0.517677557
0.055,0.519232742
0.056,0.520362954
0.057,0.521493166
0.058,0.52244711
0.059,0.523224786
0.06,0.524002462
0.061,0.52449048
0.062,0.524978497
0.063,0.525348559
0.064,0.525600664
0.065,0.52585277
0.066,0.525911662
0.067,0.525970554
0.068,0.525947333
0.069,0.525842
0.07,0.525736667
0.071,0.525502137
0.072,0.525267607
0.073,0.524979136
0.074,0.524636725
0.075,0.524294314
0.076,0.52384954
0.077,0.523404767
0.078,0.522918227
0.079,0.522389921
0.08,0.521861614
0.081,0.521246164
0.082,0.520630715
0.083,0.519979954
0.084,0.519293882
0.085,0.518607811
0.086,0.517855183
0.087,0.517102555
0.088,0.51630866
0.089,0.515473498
0.09,0.514638336
0.091,0.513730641
0.092,0.512822947
0.093,0.51187875
0.094,0.510898052
0.095,0.509917353
0.096,0.508890474
0.097,0.507863594
0.098,0.506823729
0.099,0.505770878
0.1,0.504718027
0.101,0.503656592
0.102,0.502595156
0.103,0.50153876
0.104,0.500487402
0.105,0.499436044
0.106,0.498408705
0.107,0.497381365
0.108,0.496371663
0.109,0.495379597
0.11,0.494387532
0.111,0.493427508
0.112,0.492467484
0.113,0.491531588
0.114,0.49061982
0.115,0.489708052
0.116,0.488834879
0.117,0.487961706
0.118,0.487106683
0.119,0.486269809
0.12,0.485432936
0.121,0.484629537
0.122,0.483826139
0.123,0.483041026
0.124,0.482274198
0.125,0.48150737
0.126,0.480776306
0.127,0.480045243
0.128,0.479333144
0.129,0.478640009
0.13,0.477946873
0.131,0.477292113
0.132,0.476637354
0.133,0.475998561
0.134,0.475375735
0.135,0.474752909
0.136,0.474161623
0.137,0.473570336
0.138,0.472991697
0.139,0.472425704
0.14,0.471859711
0.141,0.471302259
0.142,0.470744808
0.143,0.470187106
0.144,0.469629156
0.145,0.469071205
0.146,0.468502154
0.147,0.467933104
0.148,0.467349636
0.149,0.466751752
0.15,0.466153867
0.151,0.465523229
0.152,0.464892591
0.153,0.464250204
0.154,0.46359607
0.155,0.462941935
0.156,0.462261197
0.157,0.461580458
0.158,0.460889976
0.159,0.460189752
0.16,0.459489527
0.161,0.458773715
0.162,0.458057903
0.163,0.457338407
0.164,0.456615226
0.165,0.455892046
0.166,0.455172375
0.167,0.454452703
0.168,0.453738493
0.169,0.453029743
0.17,0.452320993
0.171,0.451625627
0.172,0.450930261
0.173,0.450244005
0.174,0.449566857
0.175,0.44888971
0.176,0.448224069
0.177,0.447558428
0.178,0.446894047
0.179,0.446230927
0.18,0.445567806
0.181,0.444898539
0.182,0.444229272
0.183,0.443558915
0.184,0.442887467
0.185,0.44221602
0.186,0.44153741
0.187,0.440858799
0.188,0.440179265
0.189,0.439498808
0.19,0.43881835
0.191,0.438128898
0.192,0.437439447
0.193,0.436748248
0.194,0.436055301
0.195,0.435362355
0.196,0.434670665
0.197,0.433978975
0.198,0.433295831
0.199,0.432621233
0.2,0.431946635
0.201,0.431293001
0.202,0.430639366
0.203,0.429997418
0.204,0.429367156
0.205,0.428736894
0.206,0.428131991
0.207,0.427527088
0.208,0.426932711
0.209,0.426348858
0.21,0.425765006
0.211,0.425196841
0.212,0.424628676
0.213,0.424067475
0.214,0.423513237
0.215,0.422958999
0.216,0.422418836
0.217,0.421878673
0.218,0.421338093
0.219,0.420797096
0.22,0.420256099
0.221,0.419706283
0.222,0.419156467
0.223,0.418598205
0.224,0.418031498
0.225,0.417464791
0.226,0.416888927
0.227,0.416313063
0.228,0.415741525
0.229,0.415174313
0.23,0.414607102
0.231,0.414043712
0.232,0.413480323
0.233,0.412918933
0.234,0.412359543
0.235,0.411800152
0.236,0.411250613
0.237,0.410701073
0.238,0.410157184
0.239,0.409618945
0.24,0.409080706
0.241,0.408555759
0.242,0.408030811
0.243,0.407505839
0.244,0.406980842
0.245,0.406455844
0.246,0.405932699
0.247,0.405409553
0.248,0.404882641
0.249,0.404351962
0.25,0.403821284
0.251,0.403280448
0.252,0.402739612
0.253,0.402183885
0.254,0.401613267
0.255,0.401042649
0.256,0.400448095
0.257,0.399853541
0.258,0.399241145
0.259,0.398610908
0.26,0.397980671
0.261,0.397319988
0.262,0.396659305
0.263,0.395982398
0.264,0.395289266
0.265,0.394596135
0.266,0.393874906
0.267,0.393153678
0.268,0.392429166
0.269,0.39170137
0.27,0.390973574
0.271,0.390241174
0.272,0.389508774
0.273,0.388784482
0.274,0.388068298
0.275,0.387352114
0.276,0.386648439
0.277,0.385944763
0.278,0.385247417
0.279,0.384556399
0.28,0.383865381
0.281,0.383193195
0.282,0.382521009
0.283,0.381856316
0.284,0.381199114
0.285,0.380541913
0.286,0.379899076
0.287,0.37925624
0.288,0.378619154
0.289,0.377987818
0.29,0.377356482
0.291,0.376739513
0.292,0.376122544
0.293,0.375512666
0.294,0.37490988
0.295,0.374307093
0.296,0.373703643
0.297,0.373100194
0.298,0.372495228
0.299,0.371888747
0.3,0.371282266
0.301,0.370667154
0.302,0.370052042
0.303,0.369432163
0.304,0.368807516
0.305,0.36818287
0.306,0.367544987
0.307,0.366907104
0.308,0.366258629
0.309,0.365599563
0.31,0.364940497
0.311,0.364262669
0.312,0.36358484
0.313,0.362896739
0.314,0.362198364
0.315,0.361499989
0.316,0.360793412
0.317,0.360086836
0.318,0.35937816
0.319,0.358667384
0.32,0.357956608
0.321,0.357254072
0.322,0.356551536
0.323,0.355853619
0.324,0.355160323
0.325,0.354467026
0.326,0.353786731
0.327,0.353106435
0.328,0.352435529
0.329,0.351774011
0.33,0.351112494
0.331,0.350466064
0.332,0.349819634
0.333,0.34917942
0.334,0.348545424
0.335,0.347911427
0.336,0.347286029
0.337,0.346660632
0.338,0.346039772
0.339,0.34542345
0.34,0.344807128
0.341,0.344193645
0.342,0.343580161
0.343,0.342966038
0.344,0.342351275
0.345,0.341736512
0.346,0.341125714
0.347,0.340514916
0.348,0.339906753
0.349,0.339301226
0.35,0.338695698
0.351,0.338102811
0.352,0.337509924
0.353,0.33692121
0.354,0.336336668
0.355,0.335752127
0.356,0.335173531
0.357,0.334594935
0.358,0.33402558
0.359,0.333465467
0.36,0.332905354
0.361,0.332361207
0.362,0.33181706
0.363,0.331275481
0.364,0.330736469
0.365,0.330197458
0.366,0.329664395
0.367,0.329131331
0.368,0.328598752
0.369,0.328066658
0.37,0.327534564
0.371,0.326998405
0.372,0.326462246
0.373,0.325922817
0.374,0.325380116
0.375,0.324837416
0.376,0.324287964
0.377,0.323738512
0.378,0.323184356
0.379,0.322625496
0.38,0.322066635
0.381,0.321493821
0.382,0.320921006
0.383,0.320342052
0.384,0.319756957
0.385,0.319171862
0.386,0.318576564
0.387,0.317981267
0.388,0.317380745
0.389,0.316774999
0.39,0.316169253
0.391,0.315560486
0.392,0.314951719
0.393,0.314340306
0.394,0.313726246
0.395,0.313112187
0.396,0.312502917
0.397,0.311893646
0.398,0.311285377
0.399,0.310678108
0.4,0.31007084
0.401,0.309470139
0.402,0.308869439
0.403,0.30827707
0.404,0.307693032
0.405,0.307108995
0.406,0.306542311
0.407,0.305975627
0.408,0.305411852
0.409,0.304850985
0.41,0.304290117
0.411,0.303737968
0.412,0.303185819
